run,lumi,event,is_SL,is_DL,lep1_pt,lep1_eta,lep1_phi,lep1_iso,lep1_pdgId,lep2_pt,lep2_eta,lep2_phi,lep2_iso,lep2_pdgId,mll, mll_passed,jet1_pt,jet2_pt,jet3_pt,jet4_pt,jet1_CSVv2,jet2_CSVv2,jet3_CSVv2,jet4_CSVv2,MET_pt,MET_phi,met_passed,n_jets,n_btags,bWeight,ttHFCategory,final_discriminant1,final_discriminant2,n_fatjets,pt_fatjet_1,pt_fatjet_2,pt_nonW_1,pt_nonW_2,pt_W1_1,pt_W1_2,pt_W2_1,pt_W2_2,pt_top_1,pt_top_2,m_top_1,m_top_2,higgstag_fatjet_1,higgstag_fatjet_2,csv2_fatjet_1,csv2_fatjet_2
1,1372,273387,1,0,37.1651,0.423445,-0.905592,0,11,0,0,0,0,0,0,0,109.919,83.7491,75.3194,64.6287,0.100901,0.997327,0.995742,0.986963,22.6744,-0.487486,0,6,4,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273392,1,0,83.8683,-0.921837,0.234173,0,11,0,0,0,0,0,0,0,129.519,49.9875,41.334,36.9828,0.964126,0.244957,0.994965,0.99067,96.5654,0.772696,1,4,3,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273399,1,0,190.707,1.20975,3.02423,0.00311236,11,0,0,0,0,0,0,0,128.682,107.123,64.8252,44.6695,0.990109,0.672181,0.971733,0.396053,42.523,-1.46991,1,7,3,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273415,1,0,54.428,0.365307,0.686877,0.014037,-13,0,0,0,0,0,0,0,210.476,97.8481,60.6816,35.6895,0.0604171,0.969543,0.961561,0.224157,96.4253,-0.104292,1,6,2,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273423,1,0,47.638,-0.438973,-0.831611,0.0936343,11,0,0,0,0,0,0,0,102.172,85.9498,67.3852,47.9549,0.99922,0.147468,0.981741,0.997019,73.9548,1.19066,1,4,3,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273430,1,0,103.852,-0.578438,-1.06627,0.00660943,-13,0,0,0,0,0,0,0,149.906,125.071,86.404,40.0459,0.256611,0.950794,0.994947,0.996818,52.2275,0.329116,1,4,3,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273448,1,0,79.6427,-0.659686,0.923022,0,11,0,0,0,0,0,0,0,60.8238,47.4898,40.8867,39.0182,0.74472,0.988899,0.250419,0.0850809,60.0363,2.61473,1,6,3,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273451,1,0,110.252,1.22818,0.242504,0.00781384,-13,0,0,0,0,0,0,0,260.384,159.775,102.67,76.7792,0.998052,0.837897,0.929144,0.816127,82.2908,0.0696666,1,7,2,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273489,1,0,103.306,0.738785,-2.47678,0.032687,13,0,0,0,0,0,0,0,85.9453,75.516,73.3215,58.6156,0.937565,0.139398,0.174194,-0.1,131.843,3.11795,1,7,4,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273491,1,0,83.9962,1.05807,0.506728,0.0392017,13,0,0,0,0,0,0,0,119.324,90.8158,58.3567,54.2158,0.1023,0.99528,0.948424,0.827836,15.4408,2.83157,0,6,2,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273495,1,0,85.9133,0.615429,2.70829,0.0311591,-11,0,0,0,0,0,0,0,384.046,237.729,143.623,47.9667,0.423865,0.926143,0.970039,0.504021,201.175,2.79389,1,4,2,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
