run,lumi,event,is_e,is_mu,is_ee,is_emu,is_mumu,n_jets,n_btags,lep1_pt,lep1_iso,lep1_pdgId,lep2_pt,lep2_iso,lep2_pdgId,jet1_pt,jet2_pt,jet1_CSVv2,jet2_CSVv2,jet1_JecSF,jet1_JecSF_up,jet1_JecSF_down,MET_pt,MET_phi,mll,ttHFCategory,PUWeight,bWeight,triggerSF,lepIDSF,lepISOSF,Q2_upup,Q2_downdown,pdf_up,pdf_down
1,8957,1785600,0,1,0,0,0,4,3,75.2639,0.0000,-13,-1,-1,-1,129.1964,67.0263,0.9591,0.9623,1.0983,1.0099,0.9901,54.8427,2.4184,-1,53,-1.0000,0.5929,0.9826,0.9791,0.9982,0.7701,1.4591,1.0398,0.9598
1,8957,1785601,0,1,0,0,0,4,4,57.1122,0.0054,13,-1,-1,-1,75.3591,61.1172,0.9070,0.8610,1.0242,1.0162,0.9838,45.7520,-2.3758,-1,53,-1.0000,0.6553,0.9834,0.9789,0.9966,0.7340,1.6321,1.0232,0.9771
1,8957,1785609,0,1,0,0,0,5,3,94.7943,0.0541,13,-1,-1,-1,197.2073,150.9785,0.4755,0.8906,1.0515,1.0069,0.9931,54.8487,-2.4556,-1,53,-1.0000,1.2119,0.9826,0.9791,0.9982,0.7658,1.6775,1.0206,0.9795
1,8957,1785616,0,1,0,0,0,4,2,45.6637,0.0690,-13,-1,-1,-1,94.0154,80.1361,0.6029,0.3654,1.0273,1.0131,0.9869,177.1130,0.7889,-1,51,-1.0000,1.0325,0.9898,0.9928,0.9982,0.9034,1.2231,1.0304,0.9697
1,8957,1785624,0,1,0,0,0,5,3,25.0916,0.0119,-13,-1,-1,-1,140.0833,124.9465,0.8131,0.3352,1.0467,1.0090,0.9910,42.0438,2.8832,-1,53,-1.0000,0.8498,0.9879,0.9920,0.9954,0.7315,1.5415,1.0252,0.9748
1,8957,1785630,1,0,0,0,0,4,3,66.9572,0.0121,11,-1,-1,-1,131.1178,94.4748,0.9530,0.9957,1.0520,1.0095,0.9905,96.2042,-1.4319,-1,53,-1.0000,0.7506,0.9828,0.9918,0.9848,0.7201,1.6355,1.0174,0.9825
1,8957,1785635,0,1,0,0,0,5,3,52.2312,0.0000,13,-1,-1,-1,78.8799,73.5603,0.2429,0.9949,1.1550,1.0165,0.9835,22.7628,0.1212,-1,51,-1.0000,0.7032,0.9834,0.9789,0.9966,0.8314,1.4081,1.0168,0.9832
1,8957,1785637,1,0,0,0,0,4,2,71.6013,0.0000,-11,-1,-1,-1,82.6822,58.8343,0.5251,0.0927,1.1324,1.0153,0.9847,74.8008,-0.9420,-1,53,-1.0000,0.9476,0.9833,0.9850,0.9868,0.8305,1.3018,1.0218,0.9782
1,8957,1785648,0,0,0,1,0,4,3,84.7769,0.0000,-11,50.1977,0.0000,13,80.2785,80.0903,0.9904,0.9989,1.0226,1.0135,0.9865,190.8766,-1.4898,128.5091,53,-1.0000,0.6626,0.9599,0.9709,0.9815,0.8477,1.3468,1.0237,0.9761
1,8957,1785654,0,1,0,0,0,5,2,58.0193,0.0410,-13,-1,-1,-1,102.5209,98.0319,0.2216,0.8313,1.1570,1.0122,0.9878,54.1639,1.3328,-1,51,-1.0000,1.2363,0.9918,0.9945,0.9985,0.8623,1.2713,1.0221,0.9779
1,8957,1785665,0,0,0,1,0,7,3,63.2796,0.0376,-13,50.5954,0.0000,11,139.2620,136.3284,0.3080,0.8926,1.0991,1.0093,0.9907,128.1537,-2.1100,117.5260,51,-1.0000,0.7834,0.9719,0.9654,0.9850,0.8102,1.4019,1.0235,0.9763
1,8957,1785666,0,1,0,0,0,5,3,25.2420,0.0000,13,-1,-1,-1,87.4772,69.4317,0.8796,0.9453,1.0247,1.0141,0.9859,14.6754,-0.7032,-1,53,-1.0000,0.7601,0.9879,0.9920,0.9954,0.8670,1.2658,1.0213,0.9787
1,8957,1785675,0,1,0,0,0,5,2,26.4848,0.1226,13,-1,-1,-1,98.5880,62.0445,0.0660,0.1792,1.0100,1.0127,0.9873,110.6053,1.3150,-1,53,-1.0000,2.0123,0.9879,0.9920,0.9954,0.8333,1.3151,1.0274,0.9725
1,8957,1785679,1,0,0,0,0,5,3,140.1042,0.0126,-11,-1,-1,-1,166.5721,128.5669,0.9911,0.9481,1.0575,1.0076,0.9924,197.4182,-1.6881,-1,53,-1.0000,0.5844,0.9799,0.9850,0.9868,0.8030,1.3901,1.0214,0.9786
1,8957,1785684,0,1,0,0,0,5,2,93.0887,0.0264,-13,-1,-1,-1,94.6140,69.9206,0.9963,0.0776,0.9992,1.0125,0.9875,104.6683,-1.5090,-1,51,-1.0000,0.6112,0.9826,0.9791,0.9982,0.7556,1.5865,1.0233,0.9765
1,8957,1785688,1,0,0,0,0,4,3,72.1423,0.0034,11,-1,-1,-1,113.4957,75.6097,0.9878,0.0700,1.0536,1.0113,0.9887,124.8913,2.8177,-1,53,-1.0000,0.6830,0.9828,0.9833,0.9888,0.7219,1.7321,1.0199,0.9803
1,8957,1785700,0,1,0,0,0,5,2,59.2345,0.0000,-13,-1,-1,-1,212.4229,111.6984,0.9968,0.2872,1.0458,1.0067,0.9933,67.7485,2.7643,-1,51,-1.0000,1.2445,0.9834,0.9789,0.9966,0.7309,1.6592,1.0227,0.9776
1,8957,1785703,0,1,0,0,0,4,3,129.4175,0.0080,13,-1,-1,-1,197.0786,90.2366,0.9764,0.2322,1.0587,1.0069,0.9931,116.7099,-2.2325,-1,51,-1.0000,0.8113,0.9729,0.9780,0.9995,0.7750,1.6193,1.0219,0.9779
1,8957,1785706,0,1,0,0,0,4,2,57.3314,0.0017,-13,-1,-1,-1,270.0576,188.1154,0.9881,0.6741,1.0566,1.0069,0.9931,45.0862,1.3230,-1,53,-1.0000,0.8305,0.9834,0.9789,0.9966,0.7846,1.5399,1.0305,0.9695
1,8957,1785708,0,1,0,0,0,5,2,51.6637,0.0064,13,-1,-1,-1,168.6723,110.7149,0.9758,0.4472,1.0500,1.0076,0.9924,117.7907,-2.2183,-1,53,-1.0000,1.7730,0.9834,0.9789,0.9966,0.7194,1.7012,1.0215,0.9787
1,8957,1785715,1,0,0,0,0,8,4,131.7646,0.0059,11,-1,-1,-1,966.5277,454.3955,0.1594,0.9826,1.0571,1.0151,0.9849,102.7935,1.1389,-1,53,-1.0000,0.2493,1.0014,0.9918,0.9848,0.7990,1.3928,1.0248,0.9752
1,8957,1785716,0,1,0,0,0,4,2,29.2430,0.0000,-13,-1,-1,-1,79.9928,78.2351,0.9890,0.9925,1.1073,1.0156,0.9844,21.5086,1.2182,-1,51,-1.0000,1.1558,0.9642,0.9782,0.9937,0.8336,1.3561,1.0202,0.9799
